"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys"
"Buff-breasted Sandpiper",2000,2012,"Previous-three-generation",-5.23224770752509,-9.02917838381132,-1.8316096005936,-47.0811173499612,-67.8763115121773,-19.8949228001324,0.99875,0.91225,0.40275,0.01375,0.0247482194226923,0.159664805528782,271.307692307692
"Pectoral Sandpiper",1980,2024,"Long-term",-3.68153583181551,-5.20643431523505,-2.23704803740404,-80.5962119743583,-90.4880395594349,-63.0453158790262,1,1,0.998,0.91,1.24669520145444,9.96093546509706,675.044444444444
"Pectoral Sandpiper",2004,2024,"15-year",-6.87285832916978,-9.90312427975727,-3.93111651148714,-75.9151100009126,-87.5779112186934,-55.1611068432289,1,0.99925,0.991,0.74375,0.694474692497619,1.40387185386971,561.571428571429
"Pectoral Sandpiper",1980,1995,"First-15-year",0.469165133615586,-3.24495634962295,4.27536796479145,7.04122460834392,-39.0316829263626,87.381178579426,0.417,0.07075,0.00425,0,1.83609528570312,21.8168367008832,728.9375
"Pectoral Sandpiper",2010,2024,"Recent-three-generation",-7.05417632785344,-11.0884330762549,-3.29256392668891,-63.80796582212,-80.7062873307936,-37.4196230225899,1,0.992,0.863,0.27125,0.53111213543,1.13908218568037,518.2
"Pectoral Sandpiper",1996,2010,"Previous-three-generation",-4.63540571642302,-6.94988079083201,-2.17472584741763,-48.6925772063433,-63.5214913948253,-26.4953098628049,0.99925,0.96,0.442,0.0015,1.30763539761667,5.6561467413914,764.333333333333
"Semipalmated Sandpiper",1980,2024,"Long-term",-1.71488559467721,-3.7482466028147,0.0151553189531001,-52.0937225522837,-81.3799581327978,0.669022408310721,0.97175,0.81275,0.53625,0.156,17.0463196157778,766.928044055429,984.888888888889
"Semipalmated Sandpiper",2004,2024,"15-year",-2.76042218017662,-6.09382103481208,0.0979428363528523,-42.0402389922691,-71.5630218014465,1.97719060159311,0.96325,0.7055,0.347,0.038,13.4431160064286,689.169408741351,905.333333333333
"Semipalmated Sandpiper",1980,1995,"First-15-year",-0.862501045627647,-5.88857583558297,3.09712622655497,-8.68053334323611,-59.7621113821405,58.0150486580357,0.6395,0.21725,0.066,0.00725,20.817109171875,970.687871222345,1004.125
"Semipalmated Sandpiper",2012,2024,"Recent-three-generation",-2.34908164711056,-6.7219872807916,1.39172885302138,-23.7849772457918,-56.613818861969,18.0403107720513,0.8905,0.3655,0.06625,0.00075,11.6934213146154,439.721152283303,805.923076923077
"Semipalmated Sandpiper",2000,2012,"Previous-three-generation",-2.66721097853506,-5.8225647798878,0.0462746015640266,-27.0241858151949,-51.3186842419698,0.556710728730061,0.96925,0.40975,0.035,0,16.8536465019231,1093.40595054253,1101.23076923077
"Short-billed Dowitcher",1980,2024,"Long-term",-3.71114314204313,-5.34814930540738,-2.11412974286094,-80.9544454833115,-91.0940379465325,-60.9446731411739,1,0.99925,0.9955,0.89775,3.45159915636111,32.8707923196658,794.088888888889
"Short-billed Dowitcher",2004,2024,"15-year",-4.02735239502561,-8.19331473000294,-0.189758987606247,-55.6523597698454,-81.9080178681716,-3.72753570229462,0.979,0.868,0.613,0.1865,1.77251922113095,28.3577351631018,736.714285714286
"Short-billed Dowitcher",1980,1995,"First-15-year",-2.99651494068304,-6.81196064107975,0.990877767416494,-36.5263442103468,-65.294155439126,15.9397574946729,0.9325,0.637,0.222,0.00825,5.66444999296875,38.2552905466282,807.375
"Short-billed Dowitcher",2012,2024,"Recent-three-generation",-3.06221005451959,-8.40351768065356,2.02354563181497,-30.8150377698241,-65.1224772566859,27.1759544755729,0.8815,0.51525,0.16775,0.009,1.44248413894231,18.9713701233249,666.692307692308
"Short-billed Dowitcher",2000,2012,"Previous-three-generation",-5.18591255891039,-8.70698561195208,-1.96511163701189,-46.7522163897339,-66.4841246375427,-21.1924358515987,0.9995,0.91775,0.38525,0.00825,2.53102330001923,44.9116330873442,886.230769230769
"Long-billed Dowitcher",1980,2024,"Long-term",-3.36640703219255,-5.47838620762363,-1.25739948395124,-77.7327538738347,-91.6175502850379,-42.6939232004012,0.999,0.99275,0.9555,0.73125,0.998289168143889,45.2224323303476,279.266666666667
"Long-billed Dowitcher",2004,2024,"15-year",-8.53357759746412,-12.9995839641169,-3.88204118256134,-83.3120879274481,-93.8279904637996,-54.7007185134252,0.99975,0.99775,0.98275,0.8805,0.582322231475,1.31121498369198,171.333333333333
"Long-billed Dowitcher",1980,1995,"First-15-year",2.33608594770569,-2.48000887730418,7.48281401489087,40.3961785141992,-31.387254725984,195.178995447645,0.17325,0.0285,0.00325,0,1.23450958040625,123.309695091406,347.0625
"Long-billed Dowitcher",2012,2024,"Recent-three-generation",-6.58601843592799,-12.992268019872,0.0317857986998151,-56.1188548594206,-81.1767684968583,0.382097154535496,0.974,0.8685,0.62425,0.18175,0.347296756325,1.15170399991074,142.769230769231
"Long-billed Dowitcher",2000,2012,"Previous-three-generation",-9.24256602328061,-14.4932171212752,-4.41168336790975,-68.7147171832307,-84.7240996053529,-41.8087398821457,1,0.994,0.9305,0.446,1.13074172230769,2.55179443208199,282.846153846154
"Spotted Sandpiper",1980,2024,"Long-term",-1.78594896232739,-2.53999595738263,-1.06151476661012,-54.8321085636742,-67.7623978587778,-37.4724650621787,1,0.995,0.72125,0.01075,0.606092806722222,1.70387451304161,830.6
"Spotted Sandpiper",2004,2024,"15-year",0.210661895159816,-1.28291571440383,1.79994032654937,3.88436704167152,-22.7592661891615,42.8731001713208,0.39925,0.00575,0,0,0.460709853047619,1.30359349292056,717.714285714286
"Spotted Sandpiper",1980,1995,"First-15-year",-3.90370330044691,-5.9475122483996,-1.90575845942519,-44.83998238072,-60.1384380961451,-25.0705224530569,1,0.939,0.27375,5e-04,0.83766347228125,2.1162230666243,905.75
"Spotted Sandpiper",2013,2024,"Recent-three-generation",1.00061172267602,-1.37974797700972,3.45472134001337,11.4971090384814,-14.1723558432592,45.2959365598731,0.2055,0.00075,0,0,0.464327556458333,1.40267851882151,667.583333333333
